Date	Min_Temp	Max_Temp	Hot_Temps	Cold_Temps
1/1/2023	0	32549	895	71183136
1/2/2023	0	27594	602	71944032
1/3/2023	0	25370	311	71667456
1/4/2023	0	33556	678	71884128
1/5/2023	0	24868	330	72053568
1/6/2023	0	26898	562	71735136
1/7/2023	0	25499	260	71836992
1/8/2023	0	24793	461	71563296
1/9/2023	0	24575	217	72192192
1/10/2023	0	28150	341	71918688
1/11/2023	0	38205	599	71929536
1/12/2023	0	25650	470	71915040
1/13/2023	0	30046	687	72050208
1/14/2023	0	24734	562	72122016
1/15/2023	0	25103	670	72034080
1/16/2023	0	27951	428	72100032
1/17/2023	0	26284	546	71847648
1/18/2023	0	28568	342	72164736
1/19/2023	0	25598	438	71892384
1/20/2023	0	31126	611	71868480
1/21/2023	0	25232	280	71912256
1/22/2023	0	30169	548	71942976
1/23/2023	0	25672	375	72099840
1/24/2023	0	24341	357	72005088
1/25/2023	0	25377	342	71750976
1/26/2023	0	32042	449	71549184
1/27/2023	0	28696	396	71825760
1/28/2023	0	26245	447	71918016
1/29/2023	0	28717	578	71979936
1/30/2023	0	29190	328	71604480
1/31/2023	0	27607	365	71612544
